Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Greece,GRC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Greenland,GRL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Grenada,GRD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.7
Guam,GUM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Guatemala,GTM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,44
Guinea,GIN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1
Guinea-Bissau,GNB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1
Guyana,GUY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Haiti,HTI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.3
Honduras,HND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,48.9
"Hong Kong SAR, China",HKG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Hungary,HUN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Iceland,ISL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
India,IND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,66.8
Indonesia,IDN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.8
"Iran, Islamic Rep.",IRN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,96.4
Iraq,IRQ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.3
Ireland,IRL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Isle of Man,IMN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Israel,ISR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Italy,ITA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Jamaica,JAM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,76.4
Japan,JPN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Jordan,JOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9
Kazakhstan,KAZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,93.5
Kenya,KEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,23.6
Kiribati,KIR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,11.8
"Korea, Dem. People's Rep.",PRK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,12.3
"Korea, Rep.",KOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Kosovo,XKX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Kuwait,KWT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Kyrgyz Republic,KGZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,77.1
Lao PDR,LAO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,8.7
Latvia,LVA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Lebanon,LBN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Lesotho,LSO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,40.2
Liberia,LBR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.7
Libya,LBY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Liechtenstein,LIE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Lithuania,LTU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Luxembourg,LUX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
"Macao SAR, China",MAC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Madagascar,MDG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.35
Malawi,MWI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.7
Malaysia,MYS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.9
Maldives,MDV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.6
Mali,MLI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.1
Malta,MLT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Marshall Islands,MHL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,64.8
Mauritania,MRT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,47.3
Mauritius,MUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.9
Mexico,MEX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,85.4
"Micronesia, Fed. Sts.",FSM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,13.2
Moldova,MDA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,97.4
Monaco,MCO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Mongolia,MNG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,51.7
Montenegro,MNE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,62.1
Morocco,MAR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.1
Mozambique,MOZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,5.2
Myanmar,MMR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,40.75
Namibia,NAM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,46.9
Nauru,NRU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Nepal,NPL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,36.9
Netherlands,NLD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
New Caledonia,NCL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
New Zealand,NZL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Nicaragua,NIC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,56.9
Niger,NER,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.3
Nigeria,NGA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,19.8
North Macedonia,MKD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,79.6
Northern Mariana Islands,MNP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Norway,NOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Oman,OMN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Pakistan,PAK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,49.4
Palau,PLW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,33.2
Panama,PAN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Papua New Guinea,PNG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,9.6
Paraguay,PRY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,68.3
Peru,PER,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.8
Philippines,PHL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,54.6
Poland,POL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Portugal,PRT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Puerto Rico,PRI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Qatar,QAT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Romania,ROU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Russian Federation,RUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.4
Rwanda,RWA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.6
Samoa,WSM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,37.25
San Marino,SMR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Sao Tome and Principe,STP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,3.4
Saudi Arabia,SAU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Senegal,SEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,30
Serbia,SRB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,80.4
Seychelles,SYC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Sierra Leone,SLE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.8
Singapore,SGP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Sint Maarten (Dutch part),SXM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Slovak Republic,SVK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Slovenia,SVN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Solomon Islands,SLB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,8.8
Somalia,SOM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,3.9
South Africa,ZAF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,88.1
South Sudan,SSD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0
Spain,ESP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,32.6
St. Kitts and Nevis,KNA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
St. Lucia,LCA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,93.6
St. Martin (French part),MAF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
St. Vincent and the Grenadines,VCT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,91.8
Sudan,SDN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,61
Suriname,SUR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,94.7
Sweden,SWE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Switzerland,CHE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Syrian Arab Republic,SYR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,92.5
Tajikistan,TJK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.3
Tanzania,TZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,7.2
Thailand,THA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.3
Timor-Leste,TLS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,14.9
Togo,TGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,10.4
Tonga,TON,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,85.5
Trinidad and Tobago,TTO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Tunisia,TUN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9
Turkiye,TUR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.3
Turkmenistan,TKM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9
Turks and Caicos Islands,TCA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Tuvalu,TUV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,73.8
Uganda,UGA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.7
Ukraine,UKR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.1
United Arab Emirates,ARE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
United Kingdom,GBR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
United States,USA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Uruguay,URY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Uzbekistan,UZB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,80.1
Vanuatu,VUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,7.1
"Venezuela, RB",VEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.5
Viet Nam,VNM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,96
Virgin Islands (U.S.),VIR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
West Bank and Gaza,PSE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
"Yemen, Rep.",YEM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,51.2
Zambia,ZMB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,10.4
Zimbabwe,ZWE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,30.5
Africa Eastern and Southern,AFE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.8288135627805
Africa Western and Central,AFW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,18.8010084287976
Arab World,ARB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.5030985484257
Caribbean small states,CSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.373923543375
Central Europe and the Baltics,CEB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Early-demographic dividend,EAR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,66.2612747553481
East Asia & Pacific,EAS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,81.808261845558
East Asia & Pacific (excluding high income),EAP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,79.9655335479399
East Asia & Pacific (IDA & IBRD countries),TEA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,80.8091078108228
Euro area,EMU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Europe & Central Asia,ECS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,97.4732601517091
Europe & Central Asia (excluding high income),ECA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,91.0506967299705
Europe & Central Asia (IDA & IBRD countries),TEC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,94.9156992476623
European Union,EUU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Fragile and conflict affected situations,FCS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,29.8820117258216
Heavily indebted poor countries (HIPC),HPC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,15.2669748229968
High income,HIC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9343544436914
IBRD only,IBD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,81.3468647773692
IDA & IBRD total,IBT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,66.5193716657744
IDA blend,IDB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,36.0834186134673
IDA only,IDX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,21.2063999185077
IDA total,IDA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,26.1825926732634
Late-demographic dividend,LTE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.6632988012721
Latin America & Caribbean,LCN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,88.7565925850242
Latin America & Caribbean (excluding high income),LAC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,87.8481918970919
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,88.6440993553282
Least developed countries: UN classification,LDC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,18.2886944249659
Low & middle income,LMY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,65.0014609953229
Low income,LIC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,15.6992058483296
Lower middle income,LMC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,55.7592489451293
Middle East & North Africa,MEA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,94.7032685010313
Middle East & North Africa (excluding high income),MNA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,93.8593922186611
Middle East & North Africa (IDA & IBRD countries),TMN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,93.8593922186611
Middle income,MIC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,70.8391179372623
North America,NAC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Not classified,INX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
OECD members,OED,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.0741239775589
Other small states,OSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,70.2018152929665
Pacific island small states,PSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,31.3012227983427
Post-demographic dividend,PST,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.5681941051294
Pre-demographic dividend,PRE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.4701714594134
Small states,SST,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,69.0205138703408
South Asia,SAS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,59.4492817294105
South Asia (IDA & IBRD),TSA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,59.4492817294105
Sub-Saharan Africa,SSF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.0056130092159
Sub-Saharan Africa (excluding high income),SSA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,19.998874799911
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.0056130092159
Upper middle income,UMC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.8536398390472
World,WLD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,71.1448297498473
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/15/2025,,,,
