Country Name,Year,Trade_Tariffs,External_Finance
Paraguay,1996,0.8055,1.0
Pakistan,1996,0.2392083,0.375
Jordan,1996,0.7016157,0.375
Austria,1996,0.935,0.875
Nigeria,1996,0.6175,0.25
Norway,1996,0.9756666,1.0
Belgium,1996,0.935,0.875
Bolivia,1996,0.8398333,0.875
India,1996,0.3856667,0.5
Bangladesh,1997,0.0,0.25
Switzerland,1997,1.0,1.0
Uruguay,1997,0.78,1.0
Venezuela,1997,0.7863333,0.75
Morocco,1997,0.6357656,0.5
Nepal,1997,0.652,0.375
Nicaragua,1997,0.8895,1.0
Malaysia,1997,0.852,0.625
Romania,1997,0.9448333,0.5
Senegal,1997,0.75,0.625
Singapore,1997,1.0,1.0
Netherlands,1997,0.9448333,1.0
Indonesia,1997,0.6571667,0.75
Ireland,1997,0.9448333,1.0
Finland,1997,0.9448333,1.0
Sweden,1997,0.9448333,0.875
Hungary,1997,0.9448333,0.75
Brazil,1997,0.7596667,0.5
Burkina Faso,1997,0.5823333,0.5
Thailand,1997,0.6496667,0.375
Tunisia,1997,0.5055,0.5
Colombia,1997,0.794,0.875
Costa Rica,1997,0.8653333,1.0
Turkey,1997,0.8876666,0.625
Israel,1997,0.8753333,0.5
Italy,1997,0.9448333,1.0
Jamaica,1997,0.6488333,0.75
Argentina,1997,0.7593333,1.0
Côte d'Ivoire,1997,0.6761667,0.25
Kenya,1997,0.4795,0.75
Korea,1997,0.8461667,0.625
Poland,1997,0.9448333,0.5
Spain,1997,0.9448333,0.75
Egypt,1997,0.595,0.875
Philippines,1997,0.7875,0.75
United Kingdom,1997,0.9448333,1.0
United States,1997,0.9286667,1.0
Mexico,1997,0.754,0.625
Tanzania,1997,0.6281667,0.375
Cameroon,1997,0.6983333,0.625
Australia,1997,0.8908333,0.75
Japan,1997,0.9531667,0.75
Peru,1997,0.78,1.0
Chile,1997,0.8168333,0.5
Sri Lanka,1997,0.6735,0.5
Ecuador,1997,0.8091667,1.0
Ghana,1997,0.7726666,0.375
Greece,1997,0.9448333,1.0
South Africa,1997,0.8635,0.5
Germany,1997,0.9448333,1.0
Denmark,1997,0.9448333,1.0
Portugal,1997,0.9448333,0.875
Algeria,1997,0.5878333,0.25
Canada,1997,0.8843333,1.0
China,1997,0.7223333,0.125
El Salvador,1997,0.865,1.0
New Zealand,1997,0.9071667,1.0
Guatemala,1997,0.8608333,1.0
France,1997,0.9448333,0.875
Hong Kong SAR,1997,1.0,1.0
Paraguay,1997,0.7978333,1.0
Pakistan,1997,0.3122199,0.375
Jordan,1997,0.7016157,0.75
Austria,1997,0.9448333,0.875
Nigeria,1997,0.6166667,0.5
Norway,1997,0.915,1.0
Belgium,1997,0.9448333,0.875
Bolivia,1997,0.8398333,1.0
India,1997,0.5183333,0.5
Bangladesh,1998,0.5413333,0.25
Switzerland,1998,1.0,1.0
Uruguay,1998,0.7435,1.0
Venezuela,1998,0.7836667,0.75
Morocco,1998,0.6357656,0.5
Nepal,1998,0.6385,0.375
Nicaragua,1998,0.9183334,1.0
Malaysia,1998,0.8671667,0.25
Romania,1998,0.9386666,0.5
Senegal,1998,0.75,0.625
Singapore,1998,1.0,0.875
Netherlands,1998,0.9386666,1.0
Indonesia,1998,0.8678333,0.625
Ireland,1998,0.9386666,1.0
Finland,1998,0.9386666,1.0
Sweden,1998,0.9386666,0.875
Hungary,1998,0.9386666,0.75
Brazil,1998,0.7141667,0.5
Burkina Faso,1998,0.5823333,0.5
Thailand,1998,0.6496667,0.375
Tunisia,1998,0.5048333,0.5
Colombia,1998,0.7935,0.875
Costa Rica,1998,0.8931667,1.0
Turkey,1998,0.9271666,0.625
Israel,1998,0.8753333,0.75
Italy,1998,0.9386666,1.0
Jamaica,1998,0.6488333,0.75
Argentina,1998,0.7211667,1.0
Côte d'Ivoire,1998,0.6761667,0.25
Kenya,1998,0.4795,0.75
Korea,1998,0.8373333,0.75
Poland,1998,0.9386666,0.5
Spain,1998,0.9386666,0.75
Egypt,1998,0.677,0.875
Philippines,1998,0.8266667,0.75
United Kingdom,1998,0.9386666,1.0
United States,1998,0.9281667,1.0
Mexico,1998,0.7546667,0.625
Tanzania,1998,0.6448333,0.375
Cameroon,1998,0.6983333,0.625
Australia,1998,0.8961667,0.75
Japan,1998,0.9546667,0.75
Peru,1998,0.781,1.0
Chile,1998,0.8168333,0.625
Sri Lanka,1998,0.8221667,0.5
Ecuador,1998,0.8018333,1.0
Ghana,1998,0.7726666,0.375
Greece,1998,0.9386666,1.0
South Africa,1998,0.8635,0.5
Germany,1998,0.9386666,1.0
Denmark,1998,0.9386666,1.0
Portugal,1998,0.9386666,0.875
Algeria,1998,0.5995,0.25
Canada,1998,0.9125,1.0
China,1998,0.7226667,0.125
El Salvador,1998,0.901,1.0
New Zealand,1998,0.9211667,1.0
Guatemala,1998,0.8718333,1.0
France,1998,0.9386666,1.0
Hong Kong SAR,1998,1.0,1.0
Paraguay,1998,0.7993333,1.0
Pakistan,1998,0.2398333,0.375
Jordan,1998,0.7016157,0.75
Austria,1998,0.9386666,0.875
Nigeria,1998,0.6166667,0.5
Norway,1998,0.9535,1.0
Belgium,1998,0.9386666,0.875
Bolivia,1998,0.84,1.0
India,1998,0.4611097,0.5
Bangladesh,1999,0.6281667,0.25
Switzerland,1999,1.0,1.0
Uruguay,1999,0.742,1.0
Venezuela,1999,0.7783333,0.75
Morocco,1999,0.4541781,0.5
Nepal,1999,0.7633333,0.375
Nicaragua,1999,0.8491667,1.0
Malaysia,1999,0.8656667,0.375
Romania,1999,0.9338334,0.5
Senegal,1999,0.75,0.625
Singapore,1999,1.0,0.875
Netherlands,1999,0.9338334,1.0
Indonesia,1999,0.8356667,0.625
Ireland,1999,0.9338334,1.0
Finland,1999,0.9338334,1.0
Sweden,1999,0.9338334,0.875
Hungary,1999,0.9338334,0.75
Brazil,1999,0.7351667,0.5
Burkina Faso,1999,0.5823333,0.5
Thailand,1999,0.3009562,0.375
Tunisia,1999,0.5048333,0.5
Colombia,1999,0.7923333,0.875
Costa Rica,1999,0.9041666,1.0
Turkey,1999,0.88,0.625
Israel,1999,0.9163333,0.75
Italy,1999,0.9338334,1.0
Jamaica,1999,0.6968333,0.75
Argentina,1999,0.7471667,1.0
Côte d'Ivoire,1999,0.6761667,0.25
Kenya,1999,0.7423334,0.75
Korea,1999,0.8585,0.75
Poland,1999,0.9338334,0.5
Spain,1999,0.9338334,1.0
Egypt,1999,0.582,0.875
Philippines,1999,0.842,0.75
United Kingdom,1999,0.9338334,1.0
United States,1999,0.9388334,1.0
Mexico,1999,0.734,0.625
Tanzania,1999,0.6448333,0.375
Cameroon,1999,0.6983333,0.625
Australia,1999,0.9023333,0.75
Japan,1999,0.957,0.75
Peru,1999,0.782,1.0
Chile,1999,0.8335,0.625
Sri Lanka,1999,0.8221667,0.5
Ecuador,1999,0.773,1.0
Ghana,1999,0.7726666,0.375
Greece,1999,0.9338334,1.0
South Africa,1999,0.8868333,0.5
Germany,1999,0.9338334,1.0
Denmark,1999,0.9338334,1.0
Portugal,1999,0.9338334,0.875
Algeria,1999,0.5995,0.25
Canada,1999,0.9173333,1.0
China,1999,0.7276667,0.125
El Salvador,1999,0.8828333,1.0
New Zealand,1999,0.9351667,1.0
Guatemala,1999,0.8813334,1.0
France,1999,0.9338334,1.0
Hong Kong SAR,1999,1.0,1.0
Paraguay,1999,0.8203334,1.0
Pakistan,1999,0.5978333,0.375
Jordan,1999,0.7016157,0.75
Austria,1999,0.9338334,0.875
Nigeria,1999,0.5893334,0.5
Norway,1999,0.9781666,1.0
Belgium,1999,0.9338334,1.0
Bolivia,1999,0.8415,1.0
India,1999,0.46,0.5
Bangladesh,2000,0.6295,0.25
Switzerland,2000,1.0,1.0
Uruguay,2000,0.7788333,1.0
Venezuela,2000,0.7793334,0.625
Morocco,2000,0.5096667,0.375
Nepal,2000,0.7626666,0.375
Nicaragua,2000,0.9493333,1.0
Malaysia,2000,0.8663333,0.25
Romania,2000,0.9505,0.5
Senegal,2000,0.75,0.625
Singapore,2000,1.0,1.0
Netherlands,2000,0.9505,1.0
Indonesia,2000,0.8663333,0.625
Ireland,2000,0.9505,1.0
Finland,2000,0.9505,1.0
Sweden,2000,0.9505,0.875
Hungary,2000,0.9505,0.625
Brazil,2000,0.7216666,0.5
Burkina Faso,2000,0.5823333,0.25
Thailand,2000,0.7185,0.375
Tunisia,2000,0.5296667,0.5
Colombia,2000,0.7873333,0.875
Costa Rica,2000,0.9163333,1.0
Turkey,2000,0.9406667,0.625
Israel,2000,0.9116667,0.875
Italy,2000,0.9505,1.0
Jamaica,2000,0.8465,0.75
Argentina,2000,0.7463333,1.0
Côte d'Ivoire,2000,0.6761667,0.375
Kenya,2000,0.681,0.75
Korea,2000,0.844,0.625
Poland,2000,0.9505,0.5
Spain,2000,0.9505,1.0
Egypt,2000,0.5818333,0.875
Philippines,2000,0.8801666,0.75
United Kingdom,2000,0.9505,1.0
United States,2000,0.9396667,1.0
Mexico,2000,0.7003334,0.625
Tanzania,2000,0.7023333,0.375
Cameroon,2000,0.6983333,0.625
Australia,2000,0.9061667,0.75
Japan,2000,0.9586667,1.0
Peru,2000,0.78,1.0
Chile,2000,0.85,0.75
Sri Lanka,2000,0.8441666,0.5
Ecuador,2000,0.8048334,1.0
Ghana,2000,0.7623333,0.375
Greece,2000,0.9505,1.0
South Africa,2000,0.8696666,0.5
Germany,2000,0.9505,1.0
Denmark,2000,0.9505,1.0
Portugal,2000,0.9505,0.875
Algeria,2000,0.5995,0.375
Canada,2000,0.9196666,1.0
China,2000,0.7266667,0.125
El Salvador,2000,0.877,1.0
New Zealand,2000,0.9468333,1.0
Guatemala,2000,0.8855,1.0
France,2000,0.9505,1.0
Hong Kong SAR,2000,1.0,1.0
Paraguay,2000,0.7733333,1.0
Pakistan,2000,0.6058334,0.375
Jordan,2000,0.603,0.875
Austria,2000,0.9505,0.875
Nigeria,2000,0.5885,0.5
Norway,2000,0.9628333,1.0
Belgium,2000,0.9505,1.0
Bolivia,2000,0.8461667,1.0
India,2000,0.4613333,0.5
Bangladesh,2001,0.6521667,0.25
Switzerland,2001,1.0,1.0
Uruguay,2001,0.7811667,1.0
Venezuela,2001,0.777,0.625
Morocco,2001,0.5131667,0.375
Nepal,2001,0.7626666,0.375
Nicaragua,2001,0.929,1.0
Malaysia,2001,0.8743333,0.375
Romania,2001,0.9336666,0.625
Senegal,2001,0.769,0.625
Singapore,2001,1.0,1.0
Netherlands,2001,0.9336666,1.0
Indonesia,2001,0.8978333,0.5
Ireland,2001,0.9336666,1.0
Finland,2001,0.9336666,1.0
Sweden,2001,0.9336666,0.875
Hungary,2001,0.9336666,1.0
Brazil,2001,0.75,0.5
Burkina Faso,2001,0.7768334,0.25
Thailand,2001,0.7558333,0.375
Tunisia,2001,0.5296667,0.5
Colombia,2001,0.7868333,0.875
Costa Rica,2001,0.8993334,1.0
Turkey,2001,0.9496667,0.625
Israel,2001,0.906,0.875
Italy,2001,0.9336666,1.0
Jamaica,2001,0.8465,0.75
Argentina,2001,0.7795,0.75
